speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
83.6865199723747,0.384882917159543,8.75,0,5.81702961596384,1,3,2663.82466475241,216.808766762379,81.1048874019692,-4.32040523399444,259.224314039666,4.42740982896638,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,8.75245519525458E-19,-1.69991817849077E-17,8.54023374550239,-0.0166131889291848,0,3380.12959476601,
83.9115730494725,0.395637337349283,9,0,5.81293482450307,1,3,2670.98832668804,216.450583665598,81.1886466272412,-4.3436736861603,260.620421169618,4.26963802162617,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,2.91748506508486E-19,-5.68172558242459E-18,8.78406414978187,-0.0171018121329844,0,3380.10632631384,
84.1358645324148,0.406362913897221,9.25,0,5.80884294916132,1,3,2678.12774632878,216.093612683561,81.271405392799,-4.36692556994072,262.015534196443,4.11188321001744,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,9.72495021694953E-20,-1.89900170068831E-18,9.02789455406135,-0.0175904353367839,0,3380.08307443006,
84.3594006311269,0.417059897936094,9.5,0,5.80475398745419,1,3,2685.24312134268,215.737843932866,81.3531732519056,-4.39016089941124,263.409653964674,3.95414370042296,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,3.24165007231651E-20,-6.34692546091497E-19,9.27172495834084,-0.0180790585405835,0,3380.05983910059,
84.5821874690486,0.427728537035788,9.75,0,5.80066793690644,1,3,2692.33464664489,215.383267667755,81.4339596231031,-4.41337968859638,264.802781315783,3.79641782067399,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,1.0805500241055E-20,-2.12126275641127E-19,9.51555536262032,-0.018567681744383,0,3380.0366203114,
84.8042310848258,0.438369075273574,10,0,5.79658479505176,1,3,2699.40251445148,215.029874277426,81.5137737928492,-4.43658195147059,266.194917088235,3.63870391970721,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,3.60183341368501E-21,-7.08954950649906E-20,9.7593857668998,-0.0190563049481826,0,3380.01341804853,
85.0255374339605,0.448981753302572,10.25,0,5.79250455943269,1,3,2706.44691433196,214.677654283402,81.5926249180876,-4.45976770195917,267.58606211755,3.48100036713299,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,1.200611137895E-21,-2.36938695418373E-20,10.0032161711793,-0.0195449281519821,0,3379.99023229804,
85.2461123904198,0.459566808418502,10.5,0,5.7884272276004,1,3,2713.46803326052,214.326598336974,81.6705220287544,-4.48293695393922,268.976217236353,3.32330555281444,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,4.00203712631668E-22,-7.91856713560187E-21,10.2470465754588,-0.0200335513557817,0,3379.96706304606,
85.4659617482042,0.470124474624769,10.75,0,5.78435279711451,1,3,2720.46605566591,213.976697216705,81.7474740302223,-4.50608972124046,270.365383274427,3.16561788645766,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,1.33401237543889E-22,-2.64636988048795E-21,10.4908769797382,-0.0205221745595812,0,3379.94391027876,
85.6850912228778,0.480654982695942,11,0,5.78028126554302,1,3,2727.4411634802,213.62794182599,81.823489705684,-4.52922601764613,271.753561058768,3.00793579721142,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,4.44670791812964E-23,-8.84398285681828E-22,10.7347073840177,-0.0210107977633808,0,3379.92077398235,
85.9035064530608,0.491158560239659,11.25,0,5.77621263046206,1,3,2734.39353618623,213.280323190688,81.8985777184783,-4.55234585689382,273.140751413629,2.85025773327751,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,1.48223597270988E-23,-2.95555276182203E-22,10.9785377882972,-0.0214994209671803,0,3379.89765414311,
86.1212130018856,0.501635431757026,11.5,0,5.7721468894558,1,3,2741.32335086402,212.933832456799,81.9727466143581,-4.57544925267628,274.526955160577,2.69258216153051,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,4.94078657569961E-24,-9.87695533820596E-23,11.2223681925767,-0.0219880441709799,0,3379.87455074732,
86.3382163584171,0.512085818701533,11.75,0,5.76808404011632,1,3,2748.23078223592,212.588460888204,82.0460048237046,-4.5985362186422,275.912173118532,2.53490756714697,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,1.64692885856654E-24,-3.30066221823955E-23,11.4661985968562,-0.0224766673747794,0,3379.85146378136,
86.5545219390398,0.52250993953655,12,0,5.76402408004341,1,3,2755.11600271082,212.244199864459,82.118360663687,-4.62160676839702,277.296406103821,2.37723245324356,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,5.48976286188845E-25,-1.10299301334032E-23,11.7100290011357,-0.022965290578579,0,3379.8283932316,
86.7701350888106,0.532908009791433,12.25,0,5.7599670068445,1,3,2761.97918242714,211.901040878643,82.1898223403709,-4.64466091550361,278.679654930217,2.2195553405244,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,1.82992095396282E-25,-3.68585457666665E-24,11.9538594054151,-0.0234539137823785,0,3379.8053390845,
86.9850610827792,0.543280242116286,12.5,0,5.75591281813448,1,3,2768.82048929495,211.558975535252,82.2603979507768,-4.66769867348308,280.061920408985,2.06187476693659,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,6.09973651320939E-26,-1.23167876297411E-24,12.1976898096946,-0.0239425369861781,0,3379.78230132652,
87.1993051272783,0.553626846335412,12.75,0,5.7518615115356,1,3,2775.64008903696,211.217995548152,82.3300954848887,-4.69072005581544,281.443203348926,1.90418928733428,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,2.03324550440313E-26,-4.11576526577982E-25,12.4415202139741,-0.0244311601899776,0,3379.75927994419,
87.412872361182,0.563948029499502,13,0,5.74781308467733,1,3,2782.43814522861,210.87809273857,82.398922827616,-4.71372507594029,282.823504556417,1.74649747315072,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,6.7774850146771E-27,-1.37530079600469E-25,12.6853506182536,-0.0249197833937772,0,3379.73627492406,
87.6257678571352,0.574243995936588,13.25,0,5.74376753519624,1,3,2789.2148193372,210.53925903314,82.4668877607091,-4.73671374725754,284.202824835452,1.58879791207824,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,2.25916167155903E-27,-4.59556387381433E-26,12.9291810225331,-0.0254084065975767,0,3379.71328625274,
87.8379966227548,0.5845149473018,13.5,0,5.7397248607359,1,3,2795.97027076013,210.201486461994,82.53399796463,-4.75968608312802,285.581164987681,1.43108920775567,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,7.53053890519678E-28,-1.53558548187127E-26,13.1730114268126,-0.0258970298013763,0,3379.69031391687,
88.0495636018015,0.594761082625962,13.75,0,5.73568505894673,1,3,2802.70465686219,209.864767156891,82.6002610203801,-4.78264209687416,286.95852581245,1.27336997946339,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,2.51017963506559E-28,-5.13101551705172E-27,13.416841831092,-0.0263856530051758,0,3379.66735790313,
